 cols            , cols_unique_values          ,rank, notes                                       
 MSSubClass      ,160,1, 2-STORY PUD - 1946 & NEWER                 
 MSSubClass      ,120,2, 1-STORY PUD (Planned Unit Development)     
 MSSubClass      ,180,3, PUD - MULTILEVEL - INCL SPLIT LEV/FOYER    
 MSSubClass      ,60,4, 2-STORY 1946 & NEWER                       
 MSSubClass      ,20,5, 1-STORY 1946 & NEWER ALL STYLES            
 MSSubClass      ,50,6, 1-1/2 STORY FINISHED ALL AGES              
 MSSubClass      ,75,7, 2-1/2 STORY ALL AGES                       
 MSSubClass      ,85,8, SPLIT FOYER                                
 MSSubClass      ,90,9, DUPLEX - ALL STYLES AND AGES               
 MSSubClass      ,70,10, 2-STORY 1945 & OLDER                       
 MSSubClass      ,40,11, 1-STORY W/FINISHED ATTIC ALL AGES          
 MSSubClass      ,30,12, 1-STORY 1945 & OLDER                       
 MSSubClass      ,45,13, 1-1/2 STORY - UNFINISHED ALL AGES          
 MSSubClass      ,150,14, 1-1/2 STORY PUD - ALL AGES                 
 MSSubClass      ,190,15, 2 FAMILY CONVERSION - ALL STYLES AND AGES  
 MSSubClass      ,80,16, SPLIT OR MULTI-LEVEL                       
 MSZoning        , FV                         ,1, Floating Village Residential               
 MSZoning        , RL                         ,2, Residential Low Density                    
 MSZoning        , RP                         ,3, Residential Low Density Park               
 MSZoning        , RM                         ,4, Residential Medium Density                 
 MSZoning        , RH                         ,5, Residential High Density                   
 MSZoning        , C                          ,6, Commercial                                 
 MSZoning        , A                          ,7, Agriculture                                
 MSZoning        , I                          ,8, Industrial                                 
 Street          , Pave                       ,1, Paved                                      
 Street          , Grvl                       ,2, Gravel                                     
 Alley           , Pave                       ,1, Paved                                      
 Alley           , Grvl                       ,2, Gravel                                     
 Alley           , NA                         ,3, No alley access                            
 LotShape        , Reg                        ,1, Regular                                    
 LotShape        , IR1                        ,2, Slightly irregular                         
 LotShape        , IR2                        ,3, Moderately irregular                       
 LotShape        , IR3                        ,4, Irregular                                  
 LandContour     , Lvl                        ,1, Near Flat/Level                            
 LandContour     , Bnk                        ,2, Banked - Quick rise from street grade      
 LandContour     , HLS                        ,3, Hillside - Significant slope side to side  
 LandContour     , Low                        ,4, Depression                                 
 Utilities       , AllPub                     ,1," All public Utilities (Electricity, Gas, Water, & Sewer) "
 Utilities       , NoSewr                     ,2," Electricity, Gas, and Water (Septic Tank)  "
 Utilities       , NoSeWa                     ,3, Electricity and Gas Only                   
 Utilities       , ELO                        ,4, Electricity only                           
 LotConfig       , CulDSac                    ,1, Cul-de-sac                                 
 LotConfig       , Corner                     ,2, Corner lot                                 
 LotConfig       , FR2                        ,3, Frontage on 2 sides of property            
 LotConfig       , Inside                     ,4, Inside lot                                 
 LandSlope       , Gtl                        ,1, Gentle slope                               
 LandSlope       , Mod                        ,2, Moderate slope                             
 LandSlope       , Sev                        ,3, Severe slope                               
 Neighborhood    , NoRidge                    ,1, Northridge                                 
 Neighborhood    , NridgHt                    ,2, Northridge Heights                         
 Neighborhood    , StoneBr                    ,3, Stone Brook                                
 Neighborhood    , Somerst                    ,4, Somerset                                   
 Neighborhood    , Timber                     ,5, Timberland                                 
 Neighborhood    , Veenker                    ,6, Veenker                                    
 Neighborhood    , CollgCr                    ,7, College Creek                              
 Neighborhood    , NWAmes                     ,8, Northwest Ames                             
 Neighborhood    , Blmngtn                    ,9, Bloomington Heights                        
 Neighborhood    , Names                      ,10, North Ames                                 
 Neighborhood    , ClearCr                    ,11, Clear Creek                                
 Neighborhood    , SWISU                      ,12, South & West of ISU                        
